966.215969,info,IMU,3250.5571,-0.87109375,-0.51171875,11.1640625,-0.173828125,0.35546875,0.044921875,0.2509765625,0.3798828125,-0.8037109375
966.236143,info,IMU,3250.5771,-1.12109375,-0.99609375,7.984375,-0.09375,0.330078125,0.037109375,0.2548828125,0.3837890625,-0.798828125
966.256389,info,IMU,3250.5971,-1.37109375,-0.80859375,10.796875,-0.146484375,0.333984375,0.03515625,0.263671875,0.3828125,-0.7978515625
966.276010,info,IMU,3250.6171,-1.32421875,-1.0546875,7.9453125,-0.146484375,0.341796875,0.037109375,0.26953125,0.38671875,-0.7978515625
966.296204,info,IMU,3250.6371,-1.09765625,-0.296875,10.72265625,-0.140625,0.345703125,0.03515625,0.2744140625,0.3916015625,-0.79296875
966.316457,info,IMU,3250.6571,-1.00390625,-0.3828125,7.94140625,-0.140625,0.29296875,0.029296875,0.2802734375,0.392578125,-0.79296875
966.336233,info,IMU,3250.6771,-1.4609375,-0.9375,10.1015625,-0.181640625,0.28515625,0.017578125,0.2880859375,0.3955078125,-0.7919921875
966.356295,info,IMU,3250.6971000000003,-1.265625,-1.06640625,9.41796875,-0.16796875,0.25,0.017578125,0.291015625,0.3974609375,-0.787109375
966.376474,info,IMU,3250.7171000000003,-1.1328125,-0.7734375,11.26171875,-0.15234375,0.208984375,0.01171875,0.294921875,0.3994140625,-0.787109375
966.396108,info,IMU,3250.7371000000003,-1.34765625,-0.93359375,9.4296875,-0.171875,0.173828125,0.021484375,0.298828125,0.40234375,-0.7841796875
966.416733,info,IMU,3250.7571000000003,-1.296875,-0.61328125,10.02734375,-0.14453125,0.126953125,0.01171875,0.3037109375,0.4072265625,-0.78125
966.436647,info,IMU,3250.7771000000002,-1.328125,-0.91015625,9.8203125,-0.15625,0.14453125,0.00390625,0.3056640625,0.41015625,-0.7822265625
966.456123,info,IMU,3250.7971000000002,-1.4140625,-1.04296875,9.45703125,-0.1015625,0.099609375,0.001953125,0.30859375,0.4091796875,-0.77734375
966.476416,info,IMU,3250.8171,-1.37890625,-0.63671875,10.3984375,-0.111328125,0.02734375,-0.001953125,0.3115234375,0.412109375,-0.7763671875
966.496206,info,IMU,3250.8371,-1.49609375,-0.87109375,8.23046875,-0.12890625,-0.03515625,-0,0.3095703125,0.4150390625,-0.775390625
966.516223,info,IMU,3250.8571,-1.75390625,-0.76953125,8.6953125,-0.130859375,-0.041015625,-0.005859375,0.3115234375,0.4189453125,-0.7734375
966.537036,info,IMU,3250.8771,-1.52734375,-0.6328125,9.29296875,-0.18359375,0.02734375,-0.00390625,0.306640625,0.4208984375,-0.7724609375
966.556085,info,IMU,3250.8971,-1.49609375,-0.85546875,7.953125,-0.076171875,-0.052734375,-0.013671875,0.3095703125,0.419921875,-0.7744140625
966.576241,info,IMU,3250.9171,-1.5859375,-0.828125,7.70703125,-0.12890625,-0.125,-0.017578125,0.306640625,0.4208984375,-0.771484375
966.596480,info,IMU,3250.9371,-1.609375,-1.16015625,8.66796875,-0.154296875,-0.142578125,-0.017578125,0.302734375,0.4248046875,-0.771484375
966.616088,info,IMU,3250.9571,-1.53125,-1.08203125,9.4375,-0.091796875,-0.16796875,-0.015625,0.2998046875,0.4267578125,-0.771484375
966.637384,info,IMU,3250.9771,-1.05859375,-0.69921875,10.25,-0.083984375,-0.150390625,-0.01953125,0.2958984375,0.4296875,-0.7705078125
966.656513,info,IMU,3250.9971,-0.7421875,-0.5078125,8.93359375,-0.048828125,-0.22265625,-0.017578125,0.29296875,0.4296875,-0.771484375
966.676122,info,IMU,3251.0171,-0.92578125,-0.92578125,9.67578125,-0.052734375,-0.248046875,-0.0234375,0.2919921875,0.431640625,-0.7734375
966.696368,info,IMU,3251.0371,-0.984375,-0.734375,9.26953125,0.017578125,-0.265625,-0.037109375,0.2900390625,0.43359375,-0.7734375
